,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,3,0,0,2,0,0,0.0,141428828.09178618,3680671.7473239396,0.004301433720526386,60248825.27173919,0.13340212541630747
97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0.0,120623785.17011827,30900785.700336915,0.03566524405273771,13633414.216559803,0.029829660050866194
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0.0,129819667.07505888,25810256.021545373,0.02287284295922554,60505043.74803455,0.13316970862145003
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,1,0,0,2,0,0,3,0,0,1604.601804148785,148596670.7265354,982665.5386439799,0.00024359258112515635,60248825.27173919,0.048024765149870696
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4317.923522804729,87405699.12812166,32003268.013775412,0.013093594494783783,120520017.87258536,0.09482497023884322
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,1,0,0,2,0,0,2164.3646474638417,134271936.81324208,17383290.976433974,0.006569034685673868,60248825.27173919,0.048024765149870696
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0.0,131849881.32761651,25868747.061280333,0.02293606238456674,44395491.7065977,0.09729800978620588
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0.0,134271936.81324208,17383290.976433974,0.018247318571316302,60248825.27173919,0.13340212541630747
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,2,0,0,0,0,2,0,0,2255.106049977172,134843950.96666119,16593195.66650477,0.004283846284785455,60505043.74803455,0.047941095103722006
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3864.8975754066305,105110832.99477361,18904373.037064448,0.006446939077788691,120520017.87258536,0.09482497023884322
